id,code,name,category,severity,description,trigger_signals,rationale_template,applicable_ward_types,simulation_only
flag-paediatrics-falls-risk,PAED_FALLS_RISK_05,Paediatrics falls-risk cue,falls-risk,low,Simulation-only falls-risk cue for paediatrics workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""falls_risk"",""mobility_note""]","Human review required: check visible falls-risk evidence, missing information and ownership before documenting the current simulation status.","[""paediatrics""]",true
flag-paediatrics-medication-timing,PAED_MEDICATION_TIMING_06,Paediatrics medication-timing cue,medication-timing,moderate,Simulation-only medication-timing cue for paediatrics workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""medication_timing"",""medicine_chart_time""]","Human review required: check visible medication-timing evidence, missing information and ownership before documenting the current simulation status.","[""paediatrics""]",true
flag-paediatrics-deteriorating-obs,PAED_DETERIORATING_OBS_07,Paediatrics deteriorating observations cue,deteriorating-obs,high,Simulation-only deteriorating observations cue for paediatrics workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""deteriorating_obs"",""NEWS2""]","Human review required: check visible deteriorating observations evidence, missing information and ownership before documenting the current simulation status.","[""paediatrics""]",true
flag-paediatrics-escalation,PAED_ESCALATION_08,Paediatrics escalation readiness cue,escalation,high,Simulation-only escalation readiness cue for paediatrics workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""NEWS2"",""active_escalation""]","Human review required: check visible escalation readiness evidence, missing information and ownership before documenting the current simulation status.","[""paediatrics""]",true
flag-paediatrics-handover,PAED_HANDOVER_09,Paediatrics handover completeness cue,handover,moderate,Simulation-only handover completeness cue for paediatrics workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""handover_completion"",""open_task""]","Human review required: check visible handover completeness evidence, missing information and ownership before documenting the current simulation status.","[""paediatrics""]",true
flag-paediatrics-discharge,PAED_DISCHARGE_10,Paediatrics discharge-readiness blocker cue,discharge,high,Simulation-only discharge-readiness blocker cue for paediatrics workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""discharge_blocker"",""discharge_checklist""]","Human review required: check visible discharge-readiness blocker evidence, missing information and ownership before documenting the current simulation status.","[""paediatrics""]",true
flag-paediatrics-learning,PAED_LEARNING_11,Paediatrics learning prompt cue,learning,low,Simulation-only learning prompt cue for paediatrics workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""learning_prompt"",""simulation_scenario""]","Human review required: check visible learning prompt evidence, missing information and ownership before documenting the current simulation status.","[""paediatrics""]",true
flag-maternity-documentation,MAT_DOCUMENTATION_01,Maternity documentation gap cue,documentation,moderate,Simulation-only documentation gap cue for maternity workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""electrolyte_plan_gap"",""documentation_note_open""]","Human review required: check visible documentation gap evidence, missing information and ownership before documenting the current simulation status.","[""maternity""]",true
flag-maternity-electrolyte-review,MAT_ELECTROLYTE_REVIEW_02,Maternity electrolyte review cue,electrolyte-review,moderate,Simulation-only electrolyte review cue for maternity workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""potassium"",""magnesium"",""creatinine_trend"",""electrolyte_plan_gap""]","Human review required: check visible electrolyte review evidence, missing information and ownership before documenting the current simulation status.","[""maternity""]",true
flag-maternity-infection-review,MAT_INFECTION_REVIEW_03,Maternity infection review cue,infection-review,moderate,Simulation-only infection review cue for maternity workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""urine_culture"",""NEWS2"",""infection_review_note""]","Human review required: check visible infection review evidence, missing information and ownership before documenting the current simulation status.","[""maternity""]",true
flag-maternity-sepsis-screen,MAT_SEPSIS_SCREEN_04,Maternity sepsis-screen cue,sepsis-screen,high,Simulation-only sepsis-screen cue for maternity workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""sepsis_screen"",""NEWS2""]","Human review required: check visible sepsis-screen evidence, missing information and ownership before documenting the current simulation status.","[""maternity""]",true
flag-maternity-falls-risk,MAT_FALLS_RISK_05,Maternity falls-risk cue,falls-risk,low,Simulation-only falls-risk cue for maternity workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""falls_risk"",""mobility_note""]","Human review required: check visible falls-risk evidence, missing information and ownership before documenting the current simulation status.","[""maternity""]",true
flag-maternity-medication-timing,MAT_MEDICATION_TIMING_06,Maternity medication-timing cue,medication-timing,moderate,Simulation-only medication-timing cue for maternity workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""medication_timing"",""medicine_chart_time""]","Human review required: check visible medication-timing evidence, missing information and ownership before documenting the current simulation status.","[""maternity""]",true
flag-maternity-deteriorating-obs,MAT_DETERIORATING_OBS_07,Maternity deteriorating observations cue,deteriorating-obs,high,Simulation-only deteriorating observations cue for maternity workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""deteriorating_obs"",""NEWS2""]","Human review required: check visible deteriorating observations evidence, missing information and ownership before documenting the current simulation status.","[""maternity""]",true
flag-maternity-escalation,MAT_ESCALATION_08,Maternity escalation readiness cue,escalation,high,Simulation-only escalation readiness cue for maternity workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""NEWS2"",""active_escalation""]","Human review required: check visible escalation readiness evidence, missing information and ownership before documenting the current simulation status.","[""maternity""]",true
flag-maternity-handover,MAT_HANDOVER_09,Maternity handover completeness cue,handover,moderate,Simulation-only handover completeness cue for maternity workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""handover_completion"",""open_task""]","Human review required: check visible handover completeness evidence, missing information and ownership before documenting the current simulation status.","[""maternity""]",true
flag-maternity-discharge,MAT_DISCHARGE_10,Maternity discharge-readiness blocker cue,discharge,high,Simulation-only discharge-readiness blocker cue for maternity workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""discharge_blocker"",""discharge_checklist""]","Human review required: check visible discharge-readiness blocker evidence, missing information and ownership before documenting the current simulation status.","[""maternity""]",true
flag-maternity-learning,MAT_LEARNING_11,Maternity learning prompt cue,learning,low,Simulation-only learning prompt cue for maternity workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""learning_prompt"",""simulation_scenario""]","Human review required: check visible learning prompt evidence, missing information and ownership before documenting the current simulation status.","[""maternity""]",true
flag-icu-hdu-documentation,ICU_DOCUMENTATION_01,ICU/HDU documentation gap cue,documentation,moderate,Simulation-only documentation gap cue for ICU/HDU workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""electrolyte_plan_gap"",""documentation_note_open""]","Human review required: check visible documentation gap evidence, missing information and ownership before documenting the current simulation status.","[""ICU/HDU""]",true
flag-icu-hdu-electrolyte-review,ICU_ELECTROLYTE_REVIEW_02,ICU/HDU electrolyte review cue,electrolyte-review,moderate,Simulation-only electrolyte review cue for ICU/HDU workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""potassium"",""magnesium"",""creatinine_trend"",""electrolyte_plan_gap""]","Human review required: check visible electrolyte review evidence, missing information and ownership before documenting the current simulation status.","[""ICU/HDU""]",true
flag-icu-hdu-infection-review,ICU_INFECTION_REVIEW_03,ICU/HDU infection review cue,infection-review,moderate,Simulation-only infection review cue for ICU/HDU workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""urine_culture"",""NEWS2"",""infection_review_note""]","Human review required: check visible infection review evidence, missing information and ownership before documenting the current simulation status.","[""ICU/HDU""]",true
flag-icu-hdu-sepsis-screen,ICU_SEPSIS_SCREEN_04,ICU/HDU sepsis-screen cue,sepsis-screen,high,Simulation-only sepsis-screen cue for ICU/HDU workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""sepsis_screen"",""NEWS2""]","Human review required: check visible sepsis-screen evidence, missing information and ownership before documenting the current simulation status.","[""ICU/HDU""]",true
flag-icu-hdu-falls-risk,ICU_FALLS_RISK_05,ICU/HDU falls-risk cue,falls-risk,low,Simulation-only falls-risk cue for ICU/HDU workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""falls_risk"",""mobility_note""]","Human review required: check visible falls-risk evidence, missing information and ownership before documenting the current simulation status.","[""ICU/HDU""]",true
flag-icu-hdu-medication-timing,ICU_MEDICATION_TIMING_06,ICU/HDU medication-timing cue,medication-timing,moderate,Simulation-only medication-timing cue for ICU/HDU workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""medication_timing"",""medicine_chart_time""]","Human review required: check visible medication-timing evidence, missing information and ownership before documenting the current simulation status.","[""ICU/HDU""]",true
flag-icu-hdu-deteriorating-obs,ICU_DETERIORATING_OBS_07,ICU/HDU deteriorating observations cue,deteriorating-obs,high,Simulation-only deteriorating observations cue for ICU/HDU workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""deteriorating_obs"",""NEWS2""]","Human review required: check visible deteriorating observations evidence, missing information and ownership before documenting the current simulation status.","[""ICU/HDU""]",true
flag-icu-hdu-escalation,ICU_ESCALATION_08,ICU/HDU escalation readiness cue,escalation,high,Simulation-only escalation readiness cue for ICU/HDU workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""NEWS2"",""active_escalation""]","Human review required: check visible escalation readiness evidence, missing information and ownership before documenting the current simulation status.","[""ICU/HDU""]",true
flag-icu-hdu-handover,ICU_HANDOVER_09,ICU/HDU handover completeness cue,handover,moderate,Simulation-only handover completeness cue for ICU/HDU workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""handover_completion"",""open_task""]","Human review required: check visible handover completeness evidence, missing information and ownership before documenting the current simulation status.","[""ICU/HDU""]",true
flag-icu-hdu-discharge,ICU_DISCHARGE_10,ICU/HDU discharge-readiness blocker cue,discharge,high,Simulation-only discharge-readiness blocker cue for ICU/HDU workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""discharge_blocker"",""discharge_checklist""]","Human review required: check visible discharge-readiness blocker evidence, missing information and ownership before documenting the current simulation status.","[""ICU/HDU""]",true
flag-icu-hdu-learning,ICU_LEARNING_11,ICU/HDU learning prompt cue,learning,low,Simulation-only learning prompt cue for ICU/HDU workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""learning_prompt"",""simulation_scenario""]","Human review required: check visible learning prompt evidence, missing information and ownership before documenting the current simulation status.","[""ICU/HDU""]",true
flag-ed-documentation,ED_DOCUMENTATION_01,ED documentation gap cue,documentation,moderate,Simulation-only documentation gap cue for ED workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""electrolyte_plan_gap"",""documentation_note_open""]","Human review required: check visible documentation gap evidence, missing information and ownership before documenting the current simulation status.","[""ED""]",true
flag-ed-electrolyte-review,ED_ELECTROLYTE_REVIEW_02,ED electrolyte review cue,electrolyte-review,moderate,Simulation-only electrolyte review cue for ED workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""potassium"",""magnesium"",""creatinine_trend"",""electrolyte_plan_gap""]","Human review required: check visible electrolyte review evidence, missing information and ownership before documenting the current simulation status.","[""ED""]",true
flag-ed-infection-review,ED_INFECTION_REVIEW_03,ED infection review cue,infection-review,moderate,Simulation-only infection review cue for ED workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""urine_culture"",""NEWS2"",""infection_review_note""]","Human review required: check visible infection review evidence, missing information and ownership before documenting the current simulation status.","[""ED""]",true
flag-ed-sepsis-screen,ED_SEPSIS_SCREEN_04,ED sepsis-screen cue,sepsis-screen,high,Simulation-only sepsis-screen cue for ED workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""sepsis_screen"",""NEWS2""]","Human review required: check visible sepsis-screen evidence, missing information and ownership before documenting the current simulation status.","[""ED""]",true
flag-ed-falls-risk,ED_FALLS_RISK_05,ED falls-risk cue,falls-risk,low,Simulation-only falls-risk cue for ED workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""falls_risk"",""mobility_note""]","Human review required: check visible falls-risk evidence, missing information and ownership before documenting the current simulation status.","[""ED""]",true
flag-ed-medication-timing,ED_MEDICATION_TIMING_06,ED medication-timing cue,medication-timing,moderate,Simulation-only medication-timing cue for ED workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""medication_timing"",""medicine_chart_time""]","Human review required: check visible medication-timing evidence, missing information and ownership before documenting the current simulation status.","[""ED""]",true
flag-ed-deteriorating-obs,ED_DETERIORATING_OBS_07,ED deteriorating observations cue,deteriorating-obs,high,Simulation-only deteriorating observations cue for ED workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""deteriorating_obs"",""NEWS2""]","Human review required: check visible deteriorating observations evidence, missing information and ownership before documenting the current simulation status.","[""ED""]",true
flag-ed-escalation,ED_ESCALATION_08,ED escalation readiness cue,escalation,high,Simulation-only escalation readiness cue for ED workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""NEWS2"",""active_escalation""]","Human review required: check visible escalation readiness evidence, missing information and ownership before documenting the current simulation status.","[""ED""]",true
flag-ed-handover,ED_HANDOVER_09,ED handover completeness cue,handover,moderate,Simulation-only handover completeness cue for ED workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""handover_completion"",""open_task""]","Human review required: check visible handover completeness evidence, missing information and ownership before documenting the current simulation status.","[""ED""]",true
flag-ed-discharge,ED_DISCHARGE_10,ED discharge-readiness blocker cue,discharge,high,Simulation-only discharge-readiness blocker cue for ED workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""discharge_blocker"",""discharge_checklist""]","Human review required: check visible discharge-readiness blocker evidence, missing information and ownership before documenting the current simulation status.","[""ED""]",true
flag-ed-learning,ED_LEARNING_11,ED learning prompt cue,learning,low,Simulation-only learning prompt cue for ED workflows. The cue highlights visible evidence and documentation context for structured review support.,"[""learning_prompt"",""simulation_scenario""]","Human review required: check visible learning prompt evidence, missing information and ownership before documenting the current simulation status.","[""ED""]",true
